State,"ED Visits per 1,000 Beneficiaries",Hospital Readmission within 30 Days (%),Medicare Only Payment ($),Dual Eligible Payment ($),All Medicare Payment ($)
Alabama,1410.8,21.2,27264,31024,28272
Alaska,1477.6,19.3,29250,33448,30830
Arizona,1436.2,20.2,29009,36698,29984
Arkansas,1530.4,21.5,26903,30163,27945
California,1496.3,23.0,38387,53254,45486
Colorado,1424.8,18.6,28783,32194,29590
Connecticut,1635.4,22.7,34595,38434,35996
Delaware,1577.6,21.5,32463,36065,33418
District of Columbia,1741.7,25.6,34429,47416,40928
Florida,1551.9,23.0,32227,41905,35223
Georgia,1573.2,22.5,29586,36009,31282
Hawaii,1248.2,16.0,24409,30122,25223
Idaho,1389.2,17.2,25165,28628,25914
Illinois,1624.1,23.4,34025,44008,35770
Indiana,1514.2,21.3,29603,34222,31288
Iowa,1310.7,18.0,23115,22264,22890
Kansas,1406.0,19.8,27386,30544,28182
Kentucky,1735.5,23.1,29440,33964,30450
Louisiana,1709.9,22.1,32676,40938,35421
Maine,1665.3,19.7,24470,25707,24906
Maryland,1524.1,24.4,36262,44947,38631
Massachusetts,1668.4,24.7,37339,40227,38057
Michigan,1691.4,24.0,30036,36169,31327
Minnesota,1467.1,21.6,27477,33463,28179
Mississippi,1714.8,22.1,30290,35280,32192
Missouri,1529.6,22.6,28650,32774,29351
